scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,3,100,combined,173.63247632224136,0.5793333333333334,0.002621155671751563,0.9509376041752771,0.2581724422564469,0.118125,0.0536660307645076,0.5420022156240129,0.0,0.0,0
nominal,4,100,sham,237.86598732857027,0.421,0.002637275723450391,0.9543465463888919,0.16216496126166385,0.43485416666666665,0.0,0.5272444597568905,0.0,0.0,0
nominal,4,100,fixed,110.54232547485448,0.6436666666666667,0.001754377651495513,0.9624200370702259,0.22032585750357211,0.4392916666666667,0.3599999999999999,4.347633701073392,0.0,0.0,0
nominal,4,100,rate,168.56143383457092,0.42133333333333334,0.0019895266722761607,0.9522310194472302,0.207864652536393,0.395375,0.026722021531505324,0.5272444688161361,0.0,0.0,0
nominal,4,100,entropy,210.9219996167838,0.42133333333333334,0.0022352930296851243,0.9455807593981954,0.2093553403970507,0.121375,0.0796554763093633,0.5272444731512925,0.0,0.0,0
nominal,4,100,combined,160.80532557856108,0.42133333333333334,0.0018828302894543054,0.9499345048270585,0.23192839780411315,0.23508333333333334,0.05438263639783609,0.5272444693225579,0.0,0.0,0
nominal,5,100,sham,75.56936293482823,0.421,0.001587423396741889,0.9673609852087321,0.1836135592515827,0.034770833333333334,0.0,0.7418443887578097,0.0,0.0,0
nominal,5,100,fixed,75.56936293482823,0.421,0.001587423396741889,0.9673609852087321,0.1836135592515827,0.034770833333333334,0.0,0.7418443887578097,0.0,0.0,0
nominal,5,100,rate,54.715428605484696,0.42133333333333334,0.0011901412910151072,0.9653998573360121,0.23237058685348452,0.0060416666666666665,0.01620618720244265,0.7418443991046696,0.0,0.0,0
nominal,5,100,entropy,50.11438919135936,0.4216666666666667,0.0010516438850737115,0.9599136852809376,0.26467726231018057,0.001375,0.06401554861394414,0.7418444193061651,0.0,0.0,0
nominal,5,100,combined,48.57778455615207,0.42133333333333334,0.0010586848996911636,0.9617684646813665,0.25962684845733514,0.003,0.03441090175948495,0.7418444040546253,0.0,0.0,0
nominal,6,100,sham,19.58528703882557,0.421,0.004608048160378266,0.9013908399086668,0.1831214844749864,0.058708333333333335,0.0,0.8487846993946931,0.0,0.0,0
nominal,6,100,fixed,16.198531922193855,0.435,0.004538197321153572,0.9352633620154667,0.18401353419661345,0.42685416666666665,0.1600000000000001,0.8954646172083062,0.0,0.0,0
nominal,6,100,rate,14.454927485058763,0.42133333333333334,0.0034061365615393802,0.8947702847421011,0.24482291931816297,0.058145833333333334,0.04207364621307937,0.8487818376148613,0.0,0.0,0
nominal,6,100,entropy,14.55874564130857,0.42133333333333334,0.0033164107927837858,0.9017716614757709,0.25145316844412074,0.058020833333333334,0.06951014805427873,0.8478856323956987,0.0,0.0,0
nominal,6,100,combined,12.92365819130203,0.42133333333333334,0.002985693961595196,0.9050395456408453,0.26757786791417265,0.057958333333333334,0.073047526110461,0.8485859308250217,0.0,0.0,0
nominal,7,100,sham,262.81071751426214,0.421,0.0024172892077692085,0.9641868047930054,0.15228694388297803,0.4126875,0.0,0.561219985706499,0.0,0.0,0
nominal,7,100,fixed,151.34898517409684,0.42,0.0017023589423185322,0.9697892474102431,0.171634582331237,0.43622916666666667,0.1600000000000001,1.140229344661314,0.0,0.0,0
nominal,7,100,rate,190.3971997251378,0.42133333333333334,0.0018420143373642582,0.9642025206934587,0.1910694371565359,0.1060625,0.02526825930680381,0.561219983277944,0.0,0.0,0
nominal,7,100,entropy,197.80976351810293,0.42133333333333334,0.0018209035884888525,0.9596154882481118,0.21780115351557527,0.08266666666666667,0.07350906143695951,0.5674348558934594,0.0,0.0,0
nominal,7,100,combined,171.74816040461872,0.42133333333333334,0.0016719338078252778,0.963742146771834,0.21470310095680153,0.07520833333333334,0.05343045018155026,0.5612199834386185,0.0,0.0,0
nominal,8,100,sham,13.727569524891956,0.579,0.0032536967043852697,0.9216634657851681,0.23069872162233163,6.25e-05,0.0,0.9011319250031417,0.0,0.0,0
nominal,8,100,fixed,12.544614970545435,0.579,0.003246292760478686,0.9359719076679208,0.22242068182548602,0.0002916666666666667,0.04000000000000002,0.8994657980335012,0.0,0.0,0
